ID     LAT    LON     Location

Alabama

[LVK]  37.70  121.82  Livermore,California
[LGB]  33.82  118.15  Long Beach,California
[SLI]  33.78  118.05  Los Alamitos,California
[LAX]  33.93  118.40  Los Angeles,California
[MMH]  37.63  118.92  Mammoth Lks,California
[RIV]  33.88  117.27  March AFB,California
[MYV]  39.10  121.57  Marysville,California
[MHR]  38.57  121.30  Mather AFB,California
[MCC]  38.67  121.40  Mcclellan,California
[MCE]  37.28  120.52  Merced,California
[NKX]  32.87  117.15  Miramar NAS,California
[MOD]  37.63  120.95  Modesto,California
[NUQ]  37.42  122.05  Moffet NAS,California
[MHV]  35.05  118.15  Mojave,California
[1O5]  41.73  122.53  Montague,California
[MRY]  36.58  121.85  Monterey,California
[MHS]  41.32  122.32  Mount Shasta,California
[MWS]  34.23  118.07  Mount Wilson,California
[APC]  38.22  122.28  Napa,California
[EED]  34.77  114.62  Needles,California
[NZY]  32.70  117.20  North Is,California
[SBD]  34.10  117.23  Norton AFB,California
[OAK]  37.73  122.22  Oakland,California
[ONT]  34.05  117.62  Ontario Intl,California
[OXR]  34.20  119.20  Oxnard,California
[PSP]  33.83  116.50  Palm Springs,California
[PMD]  35.05  118.13  Palmdale,California
[PAO]  37.47  122.12  Palo Alto,California
[PRB]  35.67  120.63  Paso Robles,California
[53Q]  37.83  122.83  Pillaro Pt,California
[NTD]  34.12  119.12  Point Mugu,California
[PAA]  39.58  124.22  Pt Arena,California
[PGU]  34.95  121.12  Pt Arguello,California
[87Q]  35.67  121.28  Pt Piedras,California
[PPD]  36.12  121.47  Pt Piedras,California
[RBL]  40.15  122.25  Red Bluff,California
[RDD]  40.50  122.30  Redding,California
[RAL]  33.95  117.45  Riverside,California
[SAC]  38.52  121.50  Sacramento,California
[SMF]  38.70  121.60  Sacramento,California
[SNS]  36.67  121.60  Salinas,California
[SQL]  37.52  122.25  San Carlos,California
[L10]  33.42  117.62  San Clemente,California
[NUC]  33.02  118.58  San Clemente,California
[MYF]  32.82  117.13  San Diego,California
[SAN]  32.73  117.17  San Diego,California
[SDM]  32.57  116.98  San Diego,California
[SDM]  32.57  116.98  San Diego,California
[SEE]  32.82  116.97  San Diego,California
[51Q]  37.75  122.68  San Francisco,California
[SFO]  37.62  122.38  San Francisco,California
[SJC]  37.37  121.92  San Jose,California
[RHV]  37.33  121.82  San Jose/Rei,California
[SBP]  35.23  120.65  San Luis Obi,California
[L98]  33.38  117.58  San Mateo,California
[N5G]  34.03  120.40  San Miguel,California
[NSI]  33.25  119.45  San Nic Isl,California
[SDB]  34.75  118.73  Sandburg,California
[SNA]  33.67  117.88  Santa Ana,California
[SBA]  34.43  119.83  Santa Barb,California
[SMX]  34.90  120.45  Santa Maria,California
[SMO]  34.02  118.45  Santa Monica,California
[STS]  38.52  122.82  Santa Rosa,California
[O87]  40.03  124.07  Shelter Cove,California
[SIY]  41.78  122.47  Siskiyou,California
[SCK]  37.90  121.25  Stockton,California
[4SU]  35.33  117.10  Superior Val,California
[SVE]  40.63  120.95  Susanville,California
[TRM]  33.63  116.17  Thermal,California
[TOA]  33.80  118.33  Torrance,California
[SUU]  38.27  121.93  Travis AFB,California
[TRK]  39.32  120.13  Truckee-Tahoe,California
[NTK]  33.70  117.83  Tustin Mcas,California
[NXP]  34.28  116.15  Twenty9 Palm,California
[UKI]  39.13  123.20  Ukiah,California
[VNY]  34.22  118.48  Van Nuys,California
[VBG]  35.20  120.95  Vandenberg,California
[VBG]  35.20  120.95  Vandenberg,California
[VIS]  36.32  119.40  Visalia,California

Colorado

[AFF]  39.52  105.35  Air Force A,Colorado
[AKO]  40.17  103.22  Akron,Colorado
[ALS]  37.45  105.87  Alamosa,Colorado
[ASE]  39.22  106.87  Aspen,Colorado
[BJC]  39.90  105.12  Brmfield/Jef,Colorado
[BKF]  39.72  104.75  Buckley,Colorado
[COS]  38.82  104.72  Colo Sprgs,Colorado
[CEZ]  37.30  108.63  Cortez,Colorado
[CAG]  40.50  107.53  Craig-Moffat,Colorado
[DEN]  39.75  104.87  Denver,Colorado
[DRO]  37.15  107.75  Durango,Colorado
[EGE]  39.65  106.92  Eagle,Colorado
[APA]  39.57  104.83  Englewood,Colorado
[FCS]  38.68  104.77  Fort Carson,Colorado
[FSR]  39.57  105.50  Fraser,Colorado
[FNL]  40.45  105.02  Ft Col/Lovel,Colorado
[FCL]  40.58  105.08  Ft Collins,Colorado
[GJT]  39.12  108.53  Grand Jct,Colorado
[GXY]  40.43  104.63  Greeley-Wld,Colorado
[2V9]  38.55  106.93  Gunnison,Colorado
[GUC]  38.55  106.92  Gunnison,Colorado
[LHX]  38.05  103.52  La Junta,Colorado
[4LJ]  38.12  102.60  Lamar,Colorado
[LXV]  39.25  106.30  Leadville,Colorado
[LIC]  39.18  103.70  Limon,Colorado
[6V8]  38.50  107.88  Montrose,Colorado
[MTJ]  38.50  107.88  Montrose,Colorado
[PUB]  38.28  104.52  Pueblo,Colorado
[1V1]  39.53  107.80  Rifle,Colorado
[S29]  38.53  106.05  Salida,Colorado
[SBS]  40.48  106.82  Steamboat Sp,Colorado
[TAD]  37.25  104.33  Trinidad,Colorado
[C96]  40.00  105.87  Winter Park,Colorado

Connecticut

[BDR]  41.17   73.13  Bridgeport,Connecticut
[DXR]  41.37   73.48  Danbury,Connecticut
[GON]  41.33   72.05  Groton,Connecticut
[HFD]  41.73   72.65  Hartford,Connecticut
[30N]  41.22   72.67  New Haven,Connecticut
[HVN]  41.27   72.88  New Haven,Connecticut
[N11]  41.27   72.90  New Haven,Connecticut
[18N]  41.30   72.08  New London,Connecticut
[BDL]  41.93   72.68  Windsor Loc,Connecticut

Delaware

[DOV]  39.13   75.47  Dover,Delaware
[ILG]  39.67   75.60  Wilmington,Delaware

District of Columbia

[IAD]  38.95   77.46  Washington,DC

Florida

[AQQ]  29.73   85.03  Apalachicola,Florida
[90J]  29.12   81.57  Astor NAS,Florida
[AGR]  28.08   81.55  Avon Park G,Florida
[XMR]  28.47   80.55  Cape Canaveral,Florida
[NZC]  30.22   81.88  Cecil,Florida
[CEW]  30.78   86.52  Crestview,Florida
[CTY]  29.62   83.10  Cross City,Florida
